screen_name,betweenness_centrality,degree_in,followers_count,group,belongs_to,profile_image_url
collaboratewiki,2.6151,1,402,4,SCOREProject,http://a0.twimg.com/profile_images/1675984827/JanCoo2007_normal.jpg
FluffTheBunny,8.7138,2,1143,4,SCOREProject,http://a0.twimg.com/profile_images/1281560239/twitterpic_normal.jpg
thefaculties,748.17,6,580,3,ukoer,http://a0.twimg.com/profile_images/1577466497/facultieslogofinalfinal_normal.png
LSEImpactBlog,1813.4,57,4582,3,ukoer,http://a0.twimg.com/profile_images/1291374024/impact_of_social_science-150x150_normal.png
HEA_Wales,11107,112,1900,3,"SCOREProject,ukoer",http://a0.twimg.com/profile_images/1743230605/New_Image_normal.JPG
arfulmer,0,1,7074,4,SCOREProject,http://a0.twimg.com/profile_images/1365815513/Karen___Arnie_normal.png
Curate_Content,1298.8,5,1990,4,SCOREProject,http://a0.twimg.com/profile_images/1682047211/aaaa_normal.jpeg
marksmithers,2551,55,3350,4,ukoer,http://a0.twimg.com/profile_images/1299462088/181774_10150140580131660_608681659_8029629_4135031_n_normal.jpg
Curriki,1072,53,4681,4,"SCOREProject,ukoer",http://a0.twimg.com/profile_images/1760358296/KimJonesimage_normal.jpg
ClareWhite,44.745,4,2514,0,ukoer,http://a0.twimg.com/profile_images/770446250/friendlyswan_normal.jpg
CILIPinfo,3363.2,77,5242,2,SCOREProject,http://a0.twimg.com/profile_images/1908554612/New_CILIP_Twitter_Avatar_normal.jpg
GdnHigherEd,12226,197,13194,3,SCOREProject,http://a0.twimg.com/profile_images/1489689761/G_twitter_gdnhighered_normal.jpg
REALTOR_Vickie,0,0,4207,4,SCOREProject,http://a0.twimg.com/profile_images/1634434838/Web_size_normal.jpg
jennifermjones,1108.8,34,3038,0,ukoer,http://a0.twimg.com/profile_images/1822428341/profilefeb2012_normal.jpg
PodcastingTools,72.105,7,2691,0,SCOREProject,http://a0.twimg.com/profile_images/1348730749/podcast-logo_normal.png
Jonathan_Worth,1569,18,3756,1,ukoer,http://a0.twimg.com/profile_images/1535866288/jw_normal.jpg
CathyLAnderson,1196.6,24,3139,4,SCOREProject,http://a0.twimg.com/profile_images/750522831/CAthyandersontwitter_normal.jpg
filmstudiesff,533.06,11,6234,1,"SCOREProject,ukoer",http://a0.twimg.com/profile_images/1808625037/Film_Studies_For_Free_Twitter_avatar_normal.jpg
CPNAS,0,2,4347,4,SCOREProject,http://a0.twimg.com/profile_images/535967665/LogoCPNAS_normal.jpg
NASciences,867.42,10,6635,4,SCOREProject,http://a0.twimg.com/profile_images/1406777856/nap_twitter_icon_normal.png
eol,114.01,12,7751,4,SCOREProject,http://a0.twimg.com/profile_images/1697067756/follow_eol_on_twitter_normal.png
opensourceway,1753.4,32,6641,4,SCOREProject,http://a0.twimg.com/profile_images/628766208/osdc_twitter_avatar_normal.jpg
K12Learn,1561.2,12,7524,4,SCOREProject,http://a0.twimg.com/profile_images/1811220926/K12-Twitter_normal.jpg
jackie_chan999,0,0,6360,4,SCOREProject,http://a0.twimg.com/profile_images/1128056047/images_normal.jpg
cpappas,6173.7,47,10108,4,SCOREProject,http://a0.twimg.com/profile_images/1413966451/_cpappas_normal.png
douglasi,25.49,8,336843,4,SCOREProject,http://a0.twimg.com/profile_images/935889248/157-idugboe_normal.jpg
