"text","size"
"librarian",10
"learning",9
"information",8
"university",8
"library",6
"research",6
"education",5
"loves",5
"social",5
"tweets",5
"development",4
"libraries",4
"oxford",4
"professional",4
"science",4
"academic",3
"issues",3
"leading",3
"liaison",3
"news",3
"personal",3
"services",3
"students",3
"studies",3
"twitter",3
"academy",2
"computing",2
"developer",2
"developments",2
"director",2
"east",2
"head",2
"literacy",2
"living",2
"london",2
"love",2
"manager",2
"music",2
"north",2
"passionate",2
"researcher",2
"resources",2
"rugby",2
"sciences",2
"support",2
"talis",2
"teacher",2
"using",2
"views",2
"web",2
"world",2
"400",1
"–",1
"a4m11com",1
"aaronhussey",1
"academics",1
"acc",1
"agency",1
"agile",1
"aims",1
"applying",1
"art",1
"arty",1
"asian",1
"aspire",1
"association",1
"available",1
"ballet",1
"based",1
"beer",1
"bioethic",1
"bioethics",1
"birkbeck",1
"blog",1
"blsocsci",1
"body",1
"boredom",1
"bring",1
"british",1
"budding",1
"buyer",1
"centres",1
"century",1
"chartership",1
"childhood",1
"children",1
"coaches",1
"college",1
"commercial",1
"common",1
"community",1
"congenital",1
"connect",1
"consultant",1
"content",1
"contexts",1
"courses",1
"crackers",1
"crafty",1
"cricket",1
